,IdEstablecimiento,MS,Inscritos_suma_fonasa
898,110360,IVa,6744.588
899,110361,IVa,2883.648
900,110362,IVa,3175.119
901,110364,IVa,1907.661
902,110366,IVa,5620.566
903,110369,IVa,4409.3099999999995
904,110370,IVa,3433.566
905,110375,IVa,2771.319
906,110378,IVa,3951.459
907,110379,IVa,3795.537
908,110380,IVa,1304.799
909,110381,IVa,678.678
910,110385,IVa,857.292
911,110387,IVa,1129.125
912,110390,IVa,6283.794
913,110393,IVa,768.7529999999999
914,110400,IVa,39.375
915,110410,IVa,12.765
916,110425,IVa,501.3
917,110430,IVa,64.998
918,110431,IVa,81.675
919,110432,IVa,76.24499999999999
920,110440,IVa,777.024
921,110445,IVa,553.521
922,110455,IVa,183.108
923,110465,IVa,352.272
924,110470,IVa,180.876
925,110475,IVa,357.939
926,110477,IVa,105.393
927,110485,IVa,104.38199999999999
928,110490,IVa,50.079
929,110492,IVa,49.503
930,110495,IVa,84.783
931,110503,IVa,63.263999999999996
932,110505,IVa,1.8599999999999999
933,110510,IVa,6.861
934,110515,IVa,1.8599999999999999
935,110627,IVa,0.018
936,110720,IVa,1.107
937,110725,IVa,1.557
938,110735,IVa,5.463
939,110750,IVa,3.4979999999999998
940,110752,IVa,4.635
941,110754,IVa,2.757
942,110756,IVa,21.183
943,110758,IVa,5.781
944,110760,IVa,211.995
945,110775,IVa,119.235
946,110778,IVa,354.867
947,110781,IVa,188.91899999999998
948,110783,IVa,137.58599999999998
949,111300,IVa,5981.961
950,111301,IVa,2894.802
951,111302,IVa,2283.399
952,111303,IVa,1744.059
953,111304,IVa,6264.897
954,111305,IVa,2965.947
955,111306,IVa,3279.879
956,111307,IVa,2777.013
957,111308,IVa,3880.116
958,111309,IVa,2569.581
959,111310,IVa,3978.0389999999998
960,111351,IVa,26.087999999999997
961,111370,IVa,4859.223
962,111372,IVa,2342.694
963,111376,IVa,3381.2309999999998
964,111378,IVa,3610.065
965,111379,IVa,4826.364
966,111380,IVa,4159.749
967,111381,IVa,8226.801
968,111382,IVa,5546.706
969,111383,IVa,3187.989
970,111400,IVa,3.69
971,111704,IVa,17.445
972,111780,IVa,1.179
973,111781,IVa,4.566
974,111782,IVa,128.049
975,111783,IVa,375.822
976,111784,IVa,141.123
977,112300,IVa,1.251
978,112301,IVa,4155.696
979,112302,IVa,2213.298
980,112303,IVa,3824.0969999999998
981,112304,IVa,5181.75
982,112306,IVa,7213.1669999999995
983,112307,IVa,5090.406
984,112309,IVa,3155.613
985,112310,IVa,5737.245
986,112311,IVa,6684.6449999999995
987,112312,IVa,5541.543
988,112313,IVa,5265.951
989,112314,IVa,4244.55
990,112315,IVa,2520.294
991,112316,IVa,5172.174
992,112317,IVa,1446.447
993,112318,IVa,3014.94
994,112319,IVa,4531.704
995,112320,IVa,1954.125
996,112321,IVa,2418.846
997,112322,IVa,2488.638
998,112323,IVa,2.445
999,112407,IVa,0.51
1000,112707,IVa,172.005
1001,112716,IVa,25.02
1002,112717,IVa,2223.6059999999998
1003,112799,IVa,0.378
1004,113181,IVa,2.187
1005,113300,IVa,5667.921
1006,113301,IVa,2281.545
1007,113302,IVa,4470.969
1008,113303,IVa,4169.58
1009,113304,IVa,144.645
1010,113305,IVa,1857.285
1011,113306,IVa,3061.194
1012,113307,IVa,3433.2509999999997
1013,113308,IVa,2859.951
1014,113309,IVa,2989.071
1015,113310,IVa,2911.065
1016,113311,IVa,4510.242
1017,113312,IVa,4149.957
1018,113313,IVa,4835.097
1019,113314,IVa,3422.8559999999998
1020,113315,IVa,2572.749
1021,113316,IVa,3980.025
1022,113317,IVa,2897.151
