IdEstablecimiento,Ano,Mes,Numerador,Denominador,MetaSanitaria
110369,2024.0,7.0,3.0,2.0,MSI
110369,2024.0,8.0,1.0,8.0,MSI
110369,2024.0,9.0,1.0,2.0,MSI
110369,2024.0,10.0,2.0,2.0,MSI
110369,2024.0,11.0,1.0,5.0,MSI
110370,2024.0,1.0,0.0,6.0,MSI
110370,2024.0,2.0,0.0,2.0,MSI
110370,2024.0,3.0,5.0,3.0,MSI
110370,2024.0,4.0,2.0,6.0,MSI
110370,2024.0,5.0,3.0,2.0,MSI
110370,2024.0,6.0,3.0,2.0,MSI
110370,2024.0,7.0,4.0,1.0,MSI
110370,2024.0,8.0,2.0,0.0,MSI
110370,2024.0,9.0,2.0,,MSI
110370,2024.0,10.0,1.0,1.0,MSI
110370,2024.0,11.0,,0.0,MSI
110375,2024.0,1.0,,1.0,MSI
110375,2024.0,2.0,2.0,3.0,MSI
110375,2024.0,3.0,,1.0,MSI
110375,2024.0,4.0,3.0,1.0,MSI
110375,2024.0,5.0,1.0,,MSI
110375,2024.0,6.0,,2.0,MSI
110375,2024.0,7.0,1.0,2.0,MSI
110375,2024.0,8.0,3.0,0.0,MSI
110375,2024.0,9.0,,0.0,MSI
110375,2024.0,10.0,1.0,0.0,MSI
110375,2024.0,11.0,1.0,,MSI
110378,2024.0,1.0,0.0,6.0,MSI
110378,2024.0,2.0,2.0,4.0,MSI
110378,2024.0,3.0,3.0,2.0,MSI
110378,2024.0,4.0,2.0,3.0,MSI
110378,2024.0,5.0,3.0,6.0,MSI
110378,2024.0,6.0,5.0,3.0,MSI
110378,2024.0,7.0,2.0,8.0,MSI
110378,2024.0,8.0,2.0,5.0,MSI
110378,2024.0,9.0,1.0,1.0,MSI
110378,2024.0,10.0,11.0,0.0,MSI
110378,2024.0,11.0,3.0,3.0,MSI
110379,2024.0,1.0,2.0,4.0,MSI
110379,2024.0,2.0,1.0,3.0,MSI
